[INFO][17/03/2023 10:02:33 PM]: Iniciando processo de atualização de tweets
[INFO][17/03/2023 10:05:00 PM]: 100 tweets enviados | 72 tweets atualizados
[INFO][17/03/2023 10:05:01 PM]: 100 tweets enviados | 68 tweets atualizados
[INFO][17/03/2023 10:05:01 PM]: 100 tweets enviados | 68 tweets atualizados
[INFO][17/03/2023 10:05:02 PM]: 100 tweets enviados | 61 tweets atualizados
[INFO][17/03/2023 10:05:02 PM]: 100 tweets enviados | 70 tweets atualizados
[INFO][17/03/2023 10:05:02 PM]: 100 tweets enviados | 65 tweets atualizados
[INFO][17/03/2023 10:05:03 PM]: 100 tweets enviados | 68 tweets atualizados
[INFO][17/03/2023 10:05:03 PM]: 100 tweets enviados | 75 tweets atualizados
[INFO][17/03/2023 10:05:03 PM]: 100 tweets enviados | 68 tweets atualizados
[INFO][17/03/2023 10:05:04 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:05 PM]: 100 tweets enviados | 76 tweets atualizados
[INFO][17/03/2023 10:05:05 PM]: 100 tweets enviados | 78 tweets atualizados
[INFO][17/03/2023 10:05:06 PM]: 100 tweets enviados | 77 tweets atualizados
[INFO][17/03/2023 10:05:06 PM]: 100 tweets enviados | 70 tweets atualizados
[INFO][17/03/2023 10:05:06 PM]: 100 tweets enviados | 64 tweets atualizados
[INFO][17/03/2023 10:05:06 PM]: 100 tweets enviados | 78 tweets atualizados
[INFO][17/03/2023 10:05:07 PM]: 100 tweets enviados | 73 tweets atualizados
[INFO][17/03/2023 10:05:07 PM]: 100 tweets enviados | 77 tweets atualizados
[INFO][17/03/2023 10:05:08 PM]: 100 tweets enviados | 59 tweets atualizados
[INFO][17/03/2023 10:05:08 PM]: 100 tweets enviados | 64 tweets atualizados
[INFO][17/03/2023 10:05:09 PM]: 100 tweets enviados | 69 tweets atualizados
[INFO][17/03/2023 10:05:09 PM]: 100 tweets enviados | 71 tweets atualizados
[INFO][17/03/2023 10:05:09 PM]: 100 tweets enviados | 75 tweets atualizados
[INFO][17/03/2023 10:05:10 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:10 PM]: 100 tweets enviados | 66 tweets atualizados
[INFO][17/03/2023 10:05:11 PM]: 100 tweets enviados | 65 tweets atualizados
[INFO][17/03/2023 10:05:11 PM]: 100 tweets enviados | 63 tweets atualizados
[INFO][17/03/2023 10:05:12 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:16 PM]: 100 tweets enviados | 63 tweets atualizados
[INFO][17/03/2023 10:05:18 PM]: 100 tweets enviados | 60 tweets atualizados
[INFO][17/03/2023 10:05:19 PM]: 40000 documentos selecionados
[INFO][17/03/2023 10:05:23 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:23 PM]: 100 tweets enviados | 82 tweets atualizados
[INFO][17/03/2023 10:05:23 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:24 PM]: 100 tweets enviados | 69 tweets atualizados
[INFO][17/03/2023 10:05:24 PM]: 100 tweets enviados | 75 tweets atualizados
[INFO][17/03/2023 10:05:25 PM]: 100 tweets enviados | 59 tweets atualizados
[INFO][17/03/2023 10:05:25 PM]: 100 tweets enviados | 69 tweets atualizados
[INFO][17/03/2023 10:05:26 PM]: 100 tweets enviados | 67 tweets atualizados
[INFO][17/03/2023 10:05:26 PM]: 100 tweets enviados | 64 tweets atualizados
[INFO][17/03/2023 10:05:26 PM]: 100 tweets enviados | 76 tweets atualizados
[INFO][17/03/2023 10:05:28 PM]: 100 tweets enviados | 66 tweets atualizados
[INFO][17/03/2023 10:05:28 PM]: 100 tweets enviados | 75 tweets atualizados
[INFO][17/03/2023 10:05:28 PM]: 100 tweets enviados | 66 tweets atualizados
[INFO][17/03/2023 10:05:28 PM]: 100 tweets enviados | 70 tweets atualizados
[INFO][17/03/2023 10:05:28 PM]: 100 tweets enviados | 67 tweets atualizados
